timestamp_utc,market_id,open,high,low,close,volume,trade_count,schema_version
2026-02-01T00:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
2026-02-01T01:00:00Z,1301963,,,,,,,pm_bars_history_v1.0
2026-02-01T02:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
2026-02-01T03:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
2026-02-01T04:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
2026-02-01T05:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
2026-02-01T06:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
2026-02-01T07:00:00Z,1301963,0.495,0.495,0.495,0.495,,,pm_bars_history_v1.0
2026-02-01T08:00:00Z,1301963,0.495,0.495,0.495,0.495,,,pm_bars_history_v1.0
2026-02-01T09:00:00Z,1301963,0.495,0.495,0.495,0.495,,,pm_bars_history_v1.0
2026-02-01T10:00:00Z,1301963,0.3,0.3,0.3,0.3,,,pm_bars_history_v1.0
2026-02-01T11:00:00Z,1301963,0.315,0.315,0.315,0.315,,,pm_bars_history_v1.0
2026-02-01T12:00:00Z,1301963,0.32,0.32,0.32,0.32,,,pm_bars_history_v1.0
2026-02-01T13:00:00Z,1301963,0.32,0.32,0.32,0.32,,,pm_bars_history_v1.0
2026-02-01T14:00:00Z,1301963,0.32,0.32,0.32,0.32,,,pm_bars_history_v1.0
2026-02-01T15:00:00Z,1301963,0.32,0.32,0.32,0.32,,,pm_bars_history_v1.0
2026-02-01T16:00:00Z,1301963,0.32,0.32,0.32,0.32,,,pm_bars_history_v1.0
2026-02-01T17:00:00Z,1301963,0.32,0.32,0.32,0.32,,,pm_bars_history_v1.0
2026-02-01T18:00:00Z,1301963,0.575,0.575,0.575,0.575,,,pm_bars_history_v1.0
2026-02-01T19:00:00Z,1301963,0.57,0.57,0.57,0.57,,,pm_bars_history_v1.0
2026-02-01T20:00:00Z,1301963,0.535,0.535,0.535,0.535,,,pm_bars_history_v1.0
2026-02-01T21:00:00Z,1301963,0.625,0.625,0.625,0.625,,,pm_bars_history_v1.0
2026-02-01T22:00:00Z,1301963,0.395,0.395,0.395,0.395,,,pm_bars_history_v1.0
2026-02-01T23:00:00Z,1301963,0.395,0.395,0.395,0.395,,,pm_bars_history_v1.0
2026-02-01T00:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
2026-02-01T01:00:00Z,1301963,,,,,,,pm_bars_history_v1.0
2026-02-01T02:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
2026-02-01T03:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
2026-02-01T04:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
2026-02-01T05:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
2026-02-01T06:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
2026-02-01T07:00:00Z,1301963,0.495,0.495,0.495,0.495,,,pm_bars_history_v1.0
2026-02-01T08:00:00Z,1301963,0.495,0.495,0.495,0.495,,,pm_bars_history_v1.0
2026-02-01T09:00:00Z,1301963,0.495,0.495,0.495,0.495,,,pm_bars_history_v1.0
2026-02-01T10:00:00Z,1301963,0.3,0.3,0.3,0.3,,,pm_bars_history_v1.0
2026-02-01T11:00:00Z,1301963,0.315,0.315,0.315,0.315,,,pm_bars_history_v1.0
2026-02-01T12:00:00Z,1301963,0.32,0.32,0.32,0.32,,,pm_bars_history_v1.0
2026-02-01T13:00:00Z,1301963,0.32,0.32,0.32,0.32,,,pm_bars_history_v1.0
2026-02-01T14:00:00Z,1301963,0.32,0.32,0.32,0.32,,,pm_bars_history_v1.0
2026-02-01T15:00:00Z,1301963,0.32,0.32,0.32,0.32,,,pm_bars_history_v1.0
2026-02-01T16:00:00Z,1301963,0.32,0.32,0.32,0.32,,,pm_bars_history_v1.0
2026-02-01T17:00:00Z,1301963,0.32,0.32,0.32,0.32,,,pm_bars_history_v1.0
2026-02-01T18:00:00Z,1301963,0.575,0.575,0.575,0.575,,,pm_bars_history_v1.0
2026-02-01T19:00:00Z,1301963,0.57,0.57,0.57,0.57,,,pm_bars_history_v1.0
2026-02-01T20:00:00Z,1301963,0.535,0.535,0.535,0.535,,,pm_bars_history_v1.0
2026-02-01T21:00:00Z,1301963,0.625,0.625,0.625,0.625,,,pm_bars_history_v1.0
2026-02-01T22:00:00Z,1301963,0.395,0.395,0.395,0.395,,,pm_bars_history_v1.0
2026-02-01T23:00:00Z,1301963,0.395,0.395,0.395,0.395,,,pm_bars_history_v1.0
2026-02-01T00:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
2026-02-01T01:00:00Z,1301963,,,,,,,pm_bars_history_v1.0
2026-02-01T02:00:00Z,1301963,0.5,0.5,0.5,0.5,,,pm_bars_history_v1.0
