timestamp_utc,market_id,open,high,low,close,volume,trade_count,schema_version
2026-01-01T00:00:00Z,1031709,0.565,0.565,0.565,0.565,,,pm_bars_history_v1.0
2026-01-01T01:00:00Z,1031709,0.56,0.56,0.56,0.56,,,pm_bars_history_v1.0
2026-01-01T02:00:00Z,1031709,0.55,0.55,0.55,0.55,,,pm_bars_history_v1.0
2026-01-01T03:00:00Z,1031709,0.55,0.55,0.55,0.55,,,pm_bars_history_v1.0
2026-01-01T04:00:00Z,1031709,0.49,0.49,0.49,0.49,,,pm_bars_history_v1.0
2026-01-01T05:00:00Z,1031709,0.49,0.49,0.49,0.49,,,pm_bars_history_v1.0
2026-01-01T06:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T07:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T08:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T09:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T10:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T11:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T12:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T13:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T14:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T15:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T16:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T17:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T18:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T19:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T20:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T21:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T22:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T23:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T00:00:00Z,1031709,0.565,0.565,0.565,0.565,,,pm_bars_history_v1.0
2026-01-01T01:00:00Z,1031709,0.56,0.56,0.56,0.56,,,pm_bars_history_v1.0
2026-01-01T02:00:00Z,1031709,0.55,0.55,0.55,0.55,,,pm_bars_history_v1.0
2026-01-01T03:00:00Z,1031709,0.55,0.55,0.55,0.55,,,pm_bars_history_v1.0
2026-01-01T04:00:00Z,1031709,0.49,0.49,0.49,0.49,,,pm_bars_history_v1.0
2026-01-01T05:00:00Z,1031709,0.49,0.49,0.49,0.49,,,pm_bars_history_v1.0
2026-01-01T06:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T07:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T08:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T09:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T10:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T11:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T12:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T13:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T14:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T15:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T16:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T17:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T18:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T19:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T20:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T21:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T22:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T23:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T00:00:00Z,1031709,0.565,0.565,0.565,0.565,,,pm_bars_history_v1.0
2026-01-01T01:00:00Z,1031709,0.56,0.56,0.56,0.56,,,pm_bars_history_v1.0
2026-01-01T02:00:00Z,1031709,0.55,0.55,0.55,0.55,,,pm_bars_history_v1.0
2026-01-01T03:00:00Z,1031709,0.55,0.55,0.55,0.55,,,pm_bars_history_v1.0
2026-01-01T04:00:00Z,1031709,0.49,0.49,0.49,0.49,,,pm_bars_history_v1.0
2026-01-01T05:00:00Z,1031709,0.49,0.49,0.49,0.49,,,pm_bars_history_v1.0
2026-01-01T06:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T07:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T08:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T09:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T10:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T11:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T12:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T13:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T14:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T15:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T16:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T17:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T18:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T19:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T20:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T21:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T22:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T23:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T00:00:00Z,1031709,0.565,0.565,0.565,0.565,,,pm_bars_history_v1.0
2026-01-01T01:00:00Z,1031709,0.56,0.56,0.56,0.56,,,pm_bars_history_v1.0
2026-01-01T02:00:00Z,1031709,0.55,0.55,0.55,0.55,,,pm_bars_history_v1.0
2026-01-01T03:00:00Z,1031709,0.55,0.55,0.55,0.55,,,pm_bars_history_v1.0
2026-01-01T04:00:00Z,1031709,0.49,0.49,0.49,0.49,,,pm_bars_history_v1.0
2026-01-01T05:00:00Z,1031709,0.49,0.49,0.49,0.49,,,pm_bars_history_v1.0
2026-01-01T06:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T07:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T08:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T09:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T10:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T11:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T12:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T13:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T14:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T15:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T16:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T17:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T18:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T19:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T20:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T21:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T22:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T23:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T00:00:00Z,1031709,0.565,0.565,0.565,0.565,,,pm_bars_history_v1.0
2026-01-01T01:00:00Z,1031709,0.56,0.56,0.56,0.56,,,pm_bars_history_v1.0
2026-01-01T02:00:00Z,1031709,0.55,0.55,0.55,0.55,,,pm_bars_history_v1.0
2026-01-01T03:00:00Z,1031709,0.55,0.55,0.55,0.55,,,pm_bars_history_v1.0
2026-01-01T04:00:00Z,1031709,0.49,0.49,0.49,0.49,,,pm_bars_history_v1.0
2026-01-01T05:00:00Z,1031709,0.49,0.49,0.49,0.49,,,pm_bars_history_v1.0
2026-01-01T06:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T07:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T08:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T09:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T10:00:00Z,1031709,0.34,0.34,0.34,0.34,,,pm_bars_history_v1.0
2026-01-01T11:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T12:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T13:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T14:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T15:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T16:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T17:00:00Z,1031709,0.33,0.33,0.33,0.33,,,pm_bars_history_v1.0
2026-01-01T18:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T19:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T20:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T21:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
2026-01-01T22:00:00Z,1031709,0.335,0.335,0.335,0.335,,,pm_bars_history_v1.0
