timestamp_utc,market_id,open,high,low,close,volume,trade_count,schema_version
2026-02-09T00:00:00Z,1349376,0.9025,0.9025,0.9025,0.9025,,,pm_bars_history_v1.0
2026-02-09T01:00:00Z,1349376,0.8525,0.8525,0.8525,0.8525,,,pm_bars_history_v1.0
2026-02-09T02:00:00Z,1349376,0.8525,0.8525,0.8525,0.8525,,,pm_bars_history_v1.0
2026-02-09T03:00:00Z,1349376,0.8955,0.8955,0.8955,0.8955,,,pm_bars_history_v1.0
2026-02-09T04:00:00Z,1349376,0.8955,0.8955,0.8955,0.8955,,,pm_bars_history_v1.0
2026-02-09T05:00:00Z,1349376,0.8955,0.8955,0.8955,0.8955,,,pm_bars_history_v1.0
2026-02-09T06:00:00Z,1349376,0.8955,0.8955,0.8955,0.8955,,,pm_bars_history_v1.0
2026-02-09T07:00:00Z,1349376,0.9455,0.9455,0.9455,0.9455,,,pm_bars_history_v1.0
2026-02-09T08:00:00Z,1349376,0.9455,0.9455,0.9455,0.9455,,,pm_bars_history_v1.0
2026-02-09T09:00:00Z,1349376,0.8955,0.8955,0.8955,0.8955,,,pm_bars_history_v1.0
2026-02-09T10:00:00Z,1349376,0.995,0.995,0.995,0.995,,,pm_bars_history_v1.0
2026-02-09T11:00:00Z,1349376,0.995,0.995,0.995,0.995,,,pm_bars_history_v1.0
2026-02-09T12:00:00Z,1349376,0.995,0.995,0.995,0.995,,,pm_bars_history_v1.0
2026-02-09T13:00:00Z,1349376,0.995,0.995,0.995,0.995,,,pm_bars_history_v1.0
2026-02-09T14:00:00Z,1349376,0.995,0.995,0.995,0.995,,,pm_bars_history_v1.0
2026-02-09T15:00:00Z,1349376,0.995,0.995,0.995,0.995,,,pm_bars_history_v1.0
2026-02-09T16:00:00Z,1349376,0.995,0.995,0.995,0.995,,,pm_bars_history_v1.0
2026-02-09T17:00:00Z,1349376,0.983,0.983,0.983,0.983,,,pm_bars_history_v1.0
2026-02-09T18:00:00Z,1349376,0.983,0.983,0.983,0.983,,,pm_bars_history_v1.0
2026-02-09T19:00:00Z,1349376,0.983,0.983,0.983,0.983,,,pm_bars_history_v1.0
2026-02-09T20:00:00Z,1349376,0.983,0.983,0.983,0.983,,,pm_bars_history_v1.0
2026-02-09T21:00:00Z,1349376,0.983,0.983,0.983,0.983,,,pm_bars_history_v1.0
2026-02-09T22:00:00Z,1349376,0.8995,0.8995,0.8995,0.8995,,,pm_bars_history_v1.0
2026-02-09T23:00:00Z,1349376,0.8995,0.8995,0.8995,0.8995,,,pm_bars_history_v1.0
