timestamp_utc,market_id,open,high,low,close,volume,trade_count,schema_version
2026-02-09T00:00:00Z,1349306,0.29,0.29,0.29,0.29,,,pm_bars_history_v1.0
2026-02-09T01:00:00Z,1349306,0.31,0.31,0.31,0.31,,,pm_bars_history_v1.0
2026-02-09T02:00:00Z,1349306,0.3,0.3,0.3,0.3,,,pm_bars_history_v1.0
2026-02-09T03:00:00Z,1349306,0.28,0.28,0.28,0.28,,,pm_bars_history_v1.0
2026-02-09T04:00:00Z,1349306,0.285,0.285,0.285,0.285,,,pm_bars_history_v1.0
2026-02-09T05:00:00Z,1349306,0.28,0.28,0.28,0.28,,,pm_bars_history_v1.0
2026-02-09T06:00:00Z,1349306,0.305,0.305,0.305,0.305,,,pm_bars_history_v1.0
2026-02-09T07:00:00Z,1349306,0.305,0.305,0.305,0.305,,,pm_bars_history_v1.0
2026-02-09T08:00:00Z,1349306,0.305,0.305,0.305,0.305,,,pm_bars_history_v1.0
2026-02-09T09:00:00Z,1349306,0.305,0.305,0.305,0.305,,,pm_bars_history_v1.0
2026-02-09T10:00:00Z,1349306,0.21,0.21,0.21,0.21,,,pm_bars_history_v1.0
2026-02-09T11:00:00Z,1349306,0.215,0.215,0.215,0.215,,,pm_bars_history_v1.0
2026-02-09T12:00:00Z,1349306,0.215,0.215,0.215,0.215,,,pm_bars_history_v1.0
2026-02-09T13:00:00Z,1349306,0.215,0.215,0.215,0.215,,,pm_bars_history_v1.0
2026-02-09T14:00:00Z,1349306,0.215,0.215,0.215,0.215,,,pm_bars_history_v1.0
2026-02-09T15:00:00Z,1349306,0.075,0.075,0.075,0.075,,,pm_bars_history_v1.0
2026-02-09T16:00:00Z,1349306,0.09,0.09,0.09,0.09,,,pm_bars_history_v1.0
2026-02-09T17:00:00Z,1349306,0.14,0.14,0.14,0.14,,,pm_bars_history_v1.0
2026-02-09T18:00:00Z,1349306,0.11,0.11,0.11,0.11,,,pm_bars_history_v1.0
2026-02-09T19:00:00Z,1349306,0.155,0.155,0.155,0.155,,,pm_bars_history_v1.0
2026-02-09T20:00:00Z,1349306,0.1,0.1,0.1,0.1,,,pm_bars_history_v1.0
2026-02-09T21:00:00Z,1349306,0.135,0.135,0.135,0.135,,,pm_bars_history_v1.0
2026-02-09T22:00:00Z,1349306,0.15,0.15,0.15,0.15,,,pm_bars_history_v1.0
2026-02-09T23:00:00Z,1349306,0.15,0.15,0.15,0.15,,,pm_bars_history_v1.0
